skills,
kotlin,
lua,
hugo,
sqlite,
styled-components,
julia,
django,
terraform,
rust,
yesod,
matlab,
mysql,
loopback,
sanic,
delphi,
tcl,
flask,
gitlab,
go,
polymer,
express,
gcp,
ada,
cloudflare,
google cloud platform,
aurelia,
c,
mongodb,
pyramid,
react.js,
cakephp,
grails,
chef,
groovy,
yarn,
perl,
socket.io,
puppet,
wxWidgets,
awk,
zepto,
ms sql,
nestjs,
c#,
python,
pascal,
aws cloudwatch,
redux,
objective-c,
html,
kubernetes,
visual basic,
apache zookeeper,
elixir,
phoenix,
tornado,
c++,
vuex,
ansible,
feathers.js,
logstash,
algol,
github,
jest,
angular,
vaadin,
ocaml,
redis,
cassandra,
next.js,
bootstrap,
java,
scratch,
meteor,
gatsby.js,
hapi.js,
cherrypy,
shell,
postgresql,
javascript,
travis ci,
dart,
nuxt.js,
haskell,
prometheus,
oracle,
serverless,
uwsgi,
coffeescript,
circleci,
ibm cloud,
jenkins,
swift,
assembly,
vb.net,
ruby on rails,
fortran,
aws lambda,
vue.js,
sql,
restify,
amazon web services,
bulma,
prolog,
aws cloudformation,
quasar,
erlang,
firebase,
powershell,
sinatra,
couchbase,
ember.js,
symfony,
turboGears,
backbone.js,
lisp,
f#,
ionic,
scala,
strapi,
sails.js,
bash,
couchdb,
koa,
apache mesos,
r,
thunderbird,
typescript,
azure,
php,
smalltalk,
openstack,
elm,
git,
jquery,
basic,
cobol,
d,
fastapi,
nginx,
ruby,
apache kafka,
scheme,
laravel,
